Atmospheric.Condition,Roadway,Person.Type,Drug.Involvement,Race,Gender,Injury.Severity,region,Fatalities.in.crash,Alcohol.Results,agenew1,age_cat
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,Other Asian or Pacific Islander,Male,Fatal Injury (K),West,2,0,40,31-40
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,41,41-50
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,2,0,40,31-40
Snow,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,Black,Female,Fatal Injury (K),South,1,0,41,41-50
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),South,1,0,41,41-50
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,3,0,41,41-50
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),South,1,0,41,41-50
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,40,31-40
Rain,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,3,0,40,31-40
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,\N,Female,Fatal Injury (K),West,2,0,40,31-40
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,\N,Male,Fatal Injury (K),West,2,0,40,31-40
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,2,0,40,31-40
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,5,0,40,31-40
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,5,0,40,31-40
Cloudy,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,41,41-50
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,41,41-50
Clear,Urban-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0,41,41-50
Cloudy,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,1,0,40,31-40
Rain,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,41,41-50
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,All other races,Male,Fatal Injury (K),South,1,0,41,41-50
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Minor Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),Northeast,1,0,40,31-40
Snow,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0,41,41-50
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),Northeast,3,0,40,31-40
Clear,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),West,1,0,40,31-40
Snow,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,\N,Male,Fatal Injury (K),West,3,0,40,31-40
Snow,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,No,\N,Female,Fatal Injury (K),West,3,0,40,31-40
Rain,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,Korean,Female,Fatal Injury (K),West,4,0,40,31-40
Rain,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,Chinese,Female,Fatal Injury (K),West,4,0,40,31-40
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),South,1,0,41,41-50
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),South,1,0,41,41-50
Clear,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Unknown,Female,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,41,41-50
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),South,1,0,41,41-50
Cloudy,Urban-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),South,3,0,41,41-50
Clear,Rural-Minor Arterial,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,40,31-40
Clear,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,60,51-60
Clear,Rural-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,1,0,40,31-40
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,1,0,17,16-25
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,1,0.21,22,16-25
Cloudy,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),South,1,0.21,20,16-25
Clear,Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),South,2,0.1,31,31-40
Rain,Urban-Minor Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,70,61+
"Fog, Smog, Smoke",Urban-Local Road or Street,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),South,1,0.03,24,16-25
Clear,Rural-Principal Arterial-Interstate,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),West,1,0,23,16-25
Clear,Urban-Other Principal Arterial,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0,18,16-25
Clear,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),South,2,0.12,28,26-30
Rain,Rural-Principal Arterial-Interstate,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0,41,41-50
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),Northeast,2,0,82,61+
Cloudy,Urban-Other Principal Arterial,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),Northeast,1,0,63,61+
Clear,Urban-Principal Arterial-Other Freeways or Expressways,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0.14,21,16-25
Clear,Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),Northeast,1,0,20,16-25
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),Northeast,1,0,31,31-40
Snow,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0,50,41-50
Clear,Rural-Local Road or Street,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,2,0.1,39,31-40
Clear,Rural-Principal Arterial-Other,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),West,1,0,64,61+
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),Northeast,1,0.27,21,16-25
"Fog, Smog, Smoke",Rural-Local Road or Street,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),South,1,0,91,61+
Snow,Rural-Principal Arterial-Other,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),Northeast,1,0,56,51-60
Rain,Rural-Minor Collector,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),South,1,0.11,20,16-25
Clear,Urban-Collector,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0.15,18,16-25
Clear,Rural-Major Collector,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),West,1,0,17,16-25
Cloudy,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),West,2,0,76,61+
Cloudy,Rural-Major Collector,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),West,2,0,82,61+
